id;ma_khoan_thu;ten_khoan_thu;don_gia;loai
1;flout anenst;understanding excitedly;disentangle;TU_NGUYEN
2;yum inasmuch fine;ponder inside;filthy;BAT_BUOC
3;yippee because;likewise blah near;till accidentally brr;TU_NGUYEN
4;vaguely dollar weaken;um that;volume;TU_NGUYEN
5;gently;to;klutzy;TU_NGUYEN
6;after mangle;patter afore nor;behove blah;BAT_BUOC
7;nor humming sorrow;duh where;since immigrate editorialise;TU_NGUYEN
8;although excepting adobe;ugh;beside outside gabble;BAT_BUOC
9;opposite;accuse but;resign pace;BAT_BUOC
10;woozy;instead eek;shrilly till road;TU_NGUYEN
